Nome Completo,CPF,Email,Telefone,Data Nascimento,Endereço,Cidade,Estado,CEP,Como Conheceu,Histórico Médico,Alergias,Tipo de Pele
Maria Silva Santos,123.456.789-00,maria.silva@email.com,(11) 99999-9999,15/03/1985,Rua das Flores 123,São Paulo,SP,01234-567,Instagram,Nenhum histórico relevante,Nenhuma,Mista
João Pedro Oliveira,987.654.321-00,joao.oliveira@email.com,(11) 98888-8888,20/07/1990,Av Paulista 1000,São Paulo,SP,01310-100,Indicação,Hipertensão controlada,Penicilina,Oleosa
Ana Carolina Souza,456.789.123-00,ana.souza@email.com,(11) 97777-7777,10/12/1988,Rua Augusta 500,São Paulo,SP,01305-000,Google,Nenhum,Nenhuma,Seca
Carlos Eduardo Lima,321.654.987-00,carlos.lima@email.com,(11) 96666-6666,05/05/1982,Rua Oscar Freire 200,São Paulo,SP,01426-000,Facebook,Diabetes tipo 2,Nenhuma,Normal
Juliana Ferreira Costa,789.123.456-00,juliana.costa@email.com,(11) 95555-5555,25/09/1995,Alameda Santos 800,São Paulo,SP,01418-100,Amiga,Nenhum,Látex,Sensível
Roberto Alves Pereira,654.321.987-00,roberto.pereira@email.com,(11) 94444-4444,30/11/1978,Rua Haddock Lobo 300,São Paulo,SP,01414-000,Outdoor,Cirurgia cardíaca em 2020,Nenhuma,Mista
Patricia Mendes Rocha,147.258.369-00,patricia.rocha@email.com,(11) 93333-3333,18/04/1992,Rua da Consolação 600,São Paulo,SP,01302-000,Instagram,Nenhum,Nenhuma,Oleosa
Fernando Santos Ribeiro,258.369.147-00,fernando.ribeiro@email.com,(11) 92222-2222,22/08/1987,Av Rebouças 1500,São Paulo,SP,05401-100,Google,Asma,Ácaros,Normal
Camila Rodrigues Martins,369.147.258-00,camila.martins@email.com,(11) 91111-1111,14/02/1993,Rua Pamplona 400,São Paulo,SP,01405-000,Indicação,Nenhum,Nenhuma,Seca
Lucas Henrique Barbosa,741.852.963-00,lucas.barbosa@email.com,(11) 90000-0000,08/06/1989,Rua Bela Cintra 700,São Paulo,SP,01415-000,Facebook,Rinite alérgica,Polen,Sensível
